musicbrainz_id,type,score,name,spotify_id,followers,genres,popularity
1129b484-4007-491b-b646-ee3f869f53eb,Group,67,Несчастный случай,2LbinT29RFLaXOGAN0jfQN,26329,"['bard', 'russian rock']",37
0ec0c8d0-c5c0-466d-8319-a301109f0c85,Orchestra,67,Симфонический оркестр Большого театра,2VAblpj4EOMgyFNivl35tx,10,[],0
fc195624-56d9-4677-95e5-73c5eb5e7d4a,Person,67,Алексей Айги,5LaWJYIJaRFtx0HbieOTE5,530,[],16
2619c907-4ae9-4c98-b464-31d7cb71f54f,Person,67,Андрей Макаревич,4vublvsxLvJXGY1lRXitR1,32455,"['bard', 'classic russian pop', 'russian rock']",35
8fbecb92-da45-4f01-9cc5-746dcfdb200e,Person,67,Анжелика Варум,0cdCzBqjiIW3YATUIWtMQM,19057,"['classic russian pop', 'russian dance pop', 'russian pop']",42
dc453ee9-f2d4-4582-840b-b3be6c79654d,Person,67,Баста,1YfEcTuGvBQ8xSD1f53UnK,1588874,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",77
9feb1ef9-c3a0-4aaf-a8d3-ef8147869093,Person,67,AstroPilot,2z658O7sY52T18CIOqUcws,12668,"['ambient psychill', 'psychill', 'space ambient']",38
c605a898-029b-43c9-8f5d-086b5ed84d04,Person,67,Александр Башлачёв,5o9BZQLy26ZyaMy6eycPnC,10952,"['classic russian rock', 'russian rock']",27
7da030e4-3b08-4e29-b497-344d809589fd,Person,67,Виктор Цой,4dngB44yGo3ErubxhE1bUW,156260,"['classic russian pop', 'russian rock']",52
fc69035e-f525-4648-9089-5943db021fc5,Person,67,София Асгатовна Губайдулина,,0,[],0
598063d1-1fc6-496a-8e91-2c21c38d8c92,Group,66,Borodin Quartet,1PsknnitlKhm7SOszdGWB1,17401,"['classical', 'classical performance', 'string quartet']",41
76f95aaa-9be1-47a1-8db8-731cb77cf938,Group,66,Кипелов,1zPtT8rIn2NjlXr37K57Mb,98388,"['russian alternative', 'russian metal', 'russian rock']",46
0f4d7f2c-69e9-4795-90f8-024b29a67cbe,Person,66,Антон Григорьевич Рубинштейн,,0,[],0
a5b4c3b8-932d-4c3a-b2f9-d7c11a7b46e1,Group,66,Бахыт-Компот,1chh3vtmlyt0mHAdY45Gik,807,[],15
9829c6b6-503b-441e-a691-030cf947afef,Group,66,Мастер,6pb2Dl1FHK081UKW6aUqgF,2113,[],61
8b0d598a-ddd9-4fd5-a0fc-35cf14871c98,Group,66,Abstracode,,0,[],0
1c81c012-154f-40f7-99e2-482dae97a50d,Person,66,Сергей Лазарев,69GGH3fqk8waBkpDJ5C2mK,46845,"['eurovision', 'russian dance pop', 'russian pop']",51
d88d05da-e1a3-463a-97b1-245482550dfd,Group,66,Звуки Му,7cZCHoW0UAnBmecxXMQycM,7048,"['classic russian rock', 'russian post-punk', 'russian rock']",21
2e3c82fd-fbab-4675-bc64-e57ebb40dcca,Person,66,Николай Яковлевич Мясковский,,0,[],0
6fba5724-82a8-4775-9e0b-9cf1a7a37bd1,Group,66,Шесть Мёртвых Болгар,,0,[],0
b5536488-a4da-4e87-9779-d5351c00729d,Person,66,ORIGA,0cmSXx965Hnm6fP42oW6vY,17216,"['alternative emo', 'anthem emo', 'diy emo', 'indie punk', 'indie rock', 'midwest emo']",44
b2b2b0be-b550-45c8-9e8b-1fb1a9243d9b,Group,66,Caprice,3Wj3j8yo8NUpJCQA6R7bwD,28,[],21
