artist_spotify_id,name,spotify_id,duration_ms,explicit,popularity,album_type,album_name,album_spotify_id,release_date,album_popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
19h4X7tdMRnD8WvNtUprEh,Часть 6.3 & Часть 7.1 - Идиот,3ZXkLBzmSCWstuBoT1obAI,100731.0,0.0,0.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0,1,1,3,0.943,0.711,0.217,0.0,0.119,-15.931,0.946,0.492,103.217
7lyhSLlB5fWJmU5eB6k84L,Позови меня с собой,4hpEs4S57UaWS4IF2sm5yJ,259519.0,0.0,47.0,album,Да!,4jjmO6nWehkw97QIxcQi27,1998-01-01,43.0,2,1,4,0.552,0.77,0.71,0.0,0.293,-9.179,0.176,0.851,167.982
7lyhSLlB5fWJmU5eB6k84L,Миллион алых роз,6hZKMAiaIepVtAtgFKm4xt,353733.0,0.0,43.0,album,Миллион роз,7oI0E3DdTbD85rhMg19GSU,1983-01-01,40.0,0,1,4,0.815,0.543,0.445,0.000127,0.135,-13.126,0.0598,0.736,79.661
7lyhSLlB5fWJmU5eB6k84L,"Мне нравится, что вы больны не мной",42NLt1tVVwhh4KncxJfRHk,93786.0,0.0,38.0,album,"Микаэл таривердиев, музыка из кинофильма ""ирония судьбы или с лёгким паром!""",5HN8cFVy6TKmJibg5uPPuX,2015-03-26,40.0,7,0,3,0.952,0.574,0.0879,0.00406,0.107,-21.303,0.0605,0.515,104.627
7lyhSLlB5fWJmU5eB6k84L,Этот мир,6eCYsMBtr89c6POdBe2OVo,185866.0,0.0,37.0,album,То ли ещё будет...,2sWIs8FRCEJBQKMJJ3lVCO,1980-01-01,33.0,2,0,4,0.72,0.605,0.446,0.00029,0.263,-15.943,0.0397,0.813,113.409
7lyhSLlB5fWJmU5eB6k84L,Не отрекаются любя,6JgcKLyJ0getX7VaarjYRo,250466.0,0.0,35.0,album,Зеркало души,2oskekdLzbhAzW6rBLScmt,1977-01-01,34.0,7,0,4,0.787,0.405,0.39,0.00108,0.117,-7.994,0.03,0.191,75.045
7lyhSLlB5fWJmU5eB6k84L,Старинные часы,45iLSCMnKFpn3UVa82SCAy,279026.0,0.0,34.0,album,Миллион роз,7oI0E3DdTbD85rhMg19GSU,1983-01-01,40.0,9,0,4,0.174,0.678,0.563,0.000845,0.0949,-11.091,0.0718,0.895,84.232
7lyhSLlB5fWJmU5eB6k84L,По улице моей,4zfFZmtVUyMIm4Mfp6gQsZ,167426.0,0.0,33.0,album,Арлекино и другие,17le97KX6ObxtiDlT5CW4l,1979-01-01,32.0,11,0,4,0.934,0.539,0.0531,0.0281,0.114,-27.155,0.123,0.221,123.594
7lyhSLlB5fWJmU5eB6k84L,Песенка про меня (Так же как все),3JAD9xfReZf3RQIi6joXXQ,222667.0,0.0,33.0,album,"Песни из кинофильма ""Женщина, которая поёт"" (Из к/ф ""Женщина, которая поёт"")",3kxUBVPxAE2ylvMrFj8KL8,2014,29.0,11,0,4,0.659,0.562,0.559,0.00313,0.186,-7.199,0.0256,0.704,135.013
7lyhSLlB5fWJmU5eB6k84L,Всё мы делим пополам,2FTkOVYLBFXVY8Z96b95ZR,76861.0,0.0,32.0,single,"Песни из ""Дважды два - четыре""",1S5woeTMwoxfkyaQbGm4XP,1974-01-01,32.0,6,0,4,0.982,0.525,0.265,0.000315,0.16,-14.815,0.178,0.891,163.235
