mb_id,name,type
bc4a4813-c6f0-4a48-9077-45f334db5788,Acidkit,Person
1e72d74f-2378-43bc-9ea9-fdae0b66027c,ACM,Person
6e30f192-9ced-465f-bfe2-3c49d3e728ef,Acos CoolKAs,Group
d312e58d-2a67-41df-a441-c84019d4c28e,Acoustic Pleasure,Group
07f6ee92-92a2-40c3-a115-20d06d1a5e5d,Acrid,Group
3be3d7a7-e074-413b-92eb-0b40ef46d851,Acrob,
1d321c3e-b0b7-44d7-ae9e-7c89c8044c74,Acrone,Person
ac79e199-f089-42ae-a329-f2dd8031d0b6,Across The Obsession,Group
7d44836a-7545-48b5-85e4-d2103025ec17,Act of God,Group
273ac55f-1ae7-4821-bf65-216a85a3cefa,Action,Group
e8b17ce3-07bf-459f-8498-ca1a25a37628,Ad Libitum,Group
c6247ec3-697e-4437-b5ac-4373cca89ff1,Ad Lux Tenebrae,Group
590f2d63-ecb4-461e-a90a-da348ae12d39,Ad Serpentae,
1694b178-810a-40f4-b73c-076da45c34b1,Adaptive Radiation,Group
69186a42-95e8-4a2b-8ec8-bd93481eed76,Addiction for Destruction,Group
78a9783e-5749-402d-9b16-0a2542271397,ADDZ,Group
f5b91287-d155-4176-a2ed-6cbb0f1caadd,Adecation,Person
e082d96f-8090-4c9f-b832-c9471341f000,Adelaide von Skilondz,Person
cc5b6137-8df8-4fcc-85d4-46f02ad63542,Adele Brosse,Person
da0572f5-ab92-40ad-b8cf-61ecf2abd183,Adeliya Chamrina,Person
aeca64a7-bdf1-4a69-aee4-686873172082,Adelle,Person
456c0998-8ad9-4e84-a3f4-dab28d808032,Adfail,Group
c148b826-16c6-4b17-967d-b7f9b63a5e8a,Adil Feodorov,Person
8044f757-17ba-486d-be06-b2ec5c09321c,Adolf Jensen,Person
9c0badf1-e3a7-4a97-bb43-8d2d9ecad3da,Adoniram,Group
deec4bd8-96b3-4620-8fd6-9bd86540f914,Advanced Dreams,Group
f5ac376f-de75-48e5-8189-c9888689b7d2,Advent,Group
00dc80d3-1200-4e37-ac69-69d752999579,Advertising on the Channel of Dreams,Group
6ece479b-e0ba-40d2-af3f-8bdfa861682a,Aeiou,Group
7ed45afa-7a3b-481a-bfe0-48e51e0dc900,Aella,Group
2b0a1c6c-1a68-4a19-a467-204e2d1bc5db,Aeonus,Group
6059c0e2-957f-4d72-a418-95169843fe12,Aerofall,Group
496be340-a109-4926-a862-1d62103504a9,Aerofurious,Group
72b8bd21-b67f-4eb2-9a98-0d07b3e814c9,Aerophonics,Group
db88efee-0bfc-4b3f-bbb0-3a279986e9fc,Aesthetics Across the Color Line,Group
a069d428-c0ff-4fd2-a120-6f6373e3eda9,Aeterna,Group
54e0eb2f-f80f-424f-b066-2e99d5f915c7,Aexfly,Person
d010a75a-d48c-4ab1-8f8b-2ff5bc5d053c,Affect,Group
