,artist,musicbrainz_id,spotify_id,type,followers,genres,popularity
4537,Dystonia,89999a3c-e6c5-4ca2-8425-2a780d0c94ee,32lwvl98Ck0aCggYSMUlaR,Group,18426,"['crust punk', 'dutch black metal', 'powerviolence', 'thrash core']",37
4538,Race to Space,088f1710-5a1c-4ddb-998d-e9d180d0ef26,0VgCLluaR54vKj6ikJBLR8,Group,531,['russian synthpop'],15
4539,Дискотека Бавария,2525b133-acd4-4339-857d-ba73bdf1f636,6lhE1G0FnDlP3DB7l3WCX2,Group,3,[],0
4540,Advanced Dreams,deec4bd8-96b3-4620-8fd6-9bd86540f914,3WVrGT3RhN4Qt2idadlgAc,Group,305,['ambient dub techno'],7
4541,Alone,984175d7-37bb-458f-9c2b-5ade4ef3f00d,1kwi1Q7X4jPTkHTgayxKhS,,8386,[],56
4542,Bleak Freak,a69b1577-c1b5-4178-b836-3acf873181b8,2xrrxs1MuxdaeoWxk9HkO0,,1,[],0
4543,НВ,be1db53c-df55-4599-904b-31ececea1a2d,2gG5yEr29UM6Mqlqfyi62D,Group,33,[],3
4544,Killaheadz,5c528522-2129-4786-9de0-555f33f411d0,4JpPwngxwUNivKb2prrhNA,Group,202,[],29
4545,Объединённая Каста,55f7742d-149f-40e9-bc10-9a2c8260067b,3LNFI1quEsf0rP80NE2gsn,Group,187,[],10
4546,Te-Deum,c1682368-6528-4ace-8690-71b3c96c4116,4jTZrFrc1Hde1GAHWp9Sj3,Group,94,[],3
4547,Slam DJs,71b9cb7c-9dad-4677-a29b-afe0364a73d2,7JR5XQNtmPRWmH6t7z2ei6,Group,534,[],38
4548,Марк Ильич Пекарский,32fedb14-a72b-479d-bc11-ca2a45ee88d4,,Person,0,[],0
4549,5Плюх,640d984c-f064-4542-8581-e3ced74be0a2,6Sq7wcFRgFdupvtit6SnqT,Person,86,[],18
4550,Миша Крупин,baf5157e-e782-4b20-b07b-ec8ec3df5414,5tyTOzTrFZpeGwvZQX04tr,Person,724,[],22
4551,Владимир Ильич Ленин,e73b9d77-b095-42fc-9fa4-382e9510491d,6tUIot9mdCbKUGpBZTJKG2,Person,34,[],0
4552,Сацура,315f8dc1-190b-413c-87e8-240bba733a21,54jeHc2mBXvkPtANwnh2CI,Person,43,[],34
